coin,entry_time,exit_time,entry_price,exit_price,position_size,price_return,gross_pnl,fees,net_pnl,bankroll_after,trade_number
DOGEUSDC,2024-11-06 01:00:00+00:00,2024-11-06 02:00:00+00:00,0.1844,0.19981,25.0,0.08356832971800422,2.0892082429501055,0.05208920824295011,2.0371190347071555,29.43112707777588,4
DOGEUSDC,2024-11-10 16:00:00+00:00,2024-11-10 17:00:00+00:00,0.2475,0.27224,25.0,0.0999595959595959,2.4989898989898975,0.05249898989898989,2.4464909090909077,31.877617986866788,5
DOGEUSDC,2024-11-10 20:00:00+00:00,2024-11-10 21:00:00+00:00,0.27121,0.27129,25.0,0.0002949743741011356,0.00737435935252839,0.05000737435935253,-0.042633015006824135,31.834984971859964,6
DOGEUSDC,2024-11-10 21:00:00+00:00,2024-11-10 22:00:00+00:00,0.25799,0.27747,25.0,0.07550680258924763,1.8876700647311908,0.05188767006473119,1.8357823946664595,33.67076736652642,7
DOGEUSDC,2024-11-10 22:00:00+00:00,2024-11-10 23:00:00+00:00,0.27065,0.27786,25.0,0.026639571402179915,0.6659892850544978,0.0506659892850545,0.6153232957694433,34.28609066229586,8
DOGEUSDC,2024-11-10 23:00:00+00:00,2024-11-11 00:00:00+00:00,0.27755,0.29014,25.0,0.04536119618086827,1.1340299045217068,0.051134029904521705,1.082895874617185,35.36898653691305,9
DOGEUSDC,2024-11-11 15:00:00+00:00,2024-11-11 16:00:00+00:00,0.29096,0.32449,25.0,0.11523920813857577,2.8809802034643943,0.0528809802034644,2.82809922326093,38.19708576017398,10
DOGEUSDC,2024-11-11 23:00:00+00:00,2024-11-12 00:00:00+00:00,0.32769,0.36407,25.0,0.11101956117061865,2.7754890292654664,0.05277548902926547,2.722713540236201,40.919799300410176,11
DOGEUSDC,2024-11-12 02:00:00+00:00,2024-11-12 03:00:00+00:00,0.3551,0.36441,25.0,0.026217966769923922,0.655449169248098,0.0506554491692481,0.6047937200788499,41.52459302048903,12
DOGEUSDC,2024-11-12 03:00:00+00:00,2024-11-12 04:00:00+00:00,0.35362,0.39232,25.0,0.10943951133985638,2.7359877834964097,0.05273598778349641,2.683251795712913,44.20784481620194,13
DOGEUSDC,2024-11-12 07:00:00+00:00,2024-11-12 08:00:00+00:00,0.40687,0.43378,25.0,0.0661390616167326,1.653476540418315,0.05165347654041831,1.6018230638778965,45.809667880079836,14
DOGEUSDC,2024-11-12 10:00:00+00:00,2024-11-12 11:00:00+00:00,0.40261,0.39611,25.0,-0.016144656118824683,-0.40361640297061707,0.049596383597029385,-0.45321278656764646,45.35645509351219,15
DOGEUSDC,2024-11-12 13:00:00+00:00,2024-11-12 14:00:00+00:00,0.36941,0.38283,25.0,0.03632819902005898,0.9082049755014745,0.05090820497550148,0.857296770525973,46.21375186403816,16
DOGEUSDC,2024-11-12 21:00:00+00:00,2024-11-12 22:00:00+00:00,0.37858,0.39598,25.0,0.0459612235194674,1.1490305879866851,0.051149030587986685,1.0978815573986984,47.31163342143686,17
DOGEUSDC,2024-11-13 04:00:00+00:00,2024-11-13 05:00:00+00:00,0.37266,0.36274,25.0,-0.026619438630386908,-0.6654859657596727,0.04933451403424033,-0.714820479793913,46.596812941642945,18
DOGEUSDC,2024-11-13 06:00:00+00:00,2024-11-13 07:00:00+00:00,0.36268,0.37802,25.0,0.04229623910885635,1.0574059777214087,0.05105740597772141,1.0063485717436873,47.60316151338663,19
DOGEUSDC,2024-11-13 13:00:00+00:00,2024-11-13 14:00:00+00:00,0.3878,0.42483,25.0,0.09548736462093865,2.3871841155234663,0.05238718411552347,2.3347969314079426,49.937958444794575,20
DOGEUSDC,2024-12-10 15:00:00+00:00,2024-12-10 16:00:00+00:00,0.40133,0.38759,25.0,-0.03423616475219901,-0.8559041188049753,0.049144095881195025,-0.9050482146861704,49.032910230108406,21
DOGEUSDC,2024-12-20 01:00:00+00:00,2024-12-20 02:00:00+00:00,0.31285,0.32677,25.0,0.04449416653348246,1.1123541633370615,0.051112354163337065,1.0612418091737243,50.09415203928213,22
DOGEUSDC,2024-12-20 11:00:00+00:00,2024-12-20 12:00:00+00:00,0.28358,0.2894,25.0,0.020523309119119797,0.5130827279779949,0.050513082727978,0.4625696452500169,50.55672168453214,23
DOGEUSDC,2024-12-20 12:00:00+00:00,2024-12-20 13:00:00+00:00,0.26603,0.29847,25.0,0.12194113445851981,3.048528361462995,0.053048528361462996,2.995479833101532,53.55220151763368,24
DOGEUSDC,2024-12-21 00:00:00+00:00,2024-12-21 01:00:00+00:00,0.31771,0.32592,25.0,0.025841175915142726,0.6460293978785682,0.05064602939787857,0.5953833684806896,54.147584886114366,25
DOGEUSDC,2024-12-21 04:00:00+00:00,2024-12-21 05:00:00+00:00,0.326,0.34162,25.0,0.04791411042944775,1.1978527607361937,0.0511978527607362,1.1466549079754575,55.294239794089826,26
DOGEUSDC,2024-12-23 01:00:00+00:00,2024-12-23 02:00:00+00:00,0.30849,0.31083,25.0,0.007585335018963366,0.18963337547408415,0.05018963337547409,0.13944374209861007,55.43368353618843,27
DOGEUSDC,2024-12-23 02:00:00+00:00,2024-12-23 03:00:00+00:00,0.30872,0.32026,25.0,0.03738015029800465,0.9345037574501163,0.05093450375745012,0.8835692536926661,56.317252789881096,28
DOGEUSDC,2024-12-24 12:00:00+00:00,2024-12-24 13:00:00+00:00,0.32117,0.3336,25.0,0.03870224491702213,0.9675561229255533,0.050967556122925556,0.9165885668026277,57.233841356683726,29
DOGEUSDC,2025-01-03 11:00:00+00:00,2025-01-03 12:00:00+00:00,0.33989,0.35067,25.0,0.03171614345817751,0.7929035864544378,0.05079290358645444,0.7421106828679833,57.97595203955171,30
DOGEUSDC,2025-01-03 12:00:00+00:00,2025-01-03 13:00:00+00:00,0.34862,0.36224,25.0,0.03906832654466187,0.9767081636165468,0.050976708163616546,0.9257314554529302,58.90168349500464,31
DOGEUSDC,2025-01-15 12:00:00+00:00,2025-01-15 13:00:00+00:00,0.35182,0.36746,25.0,0.044454550622477364,1.1113637655619342,0.05111136376556193,1.0602524017963721,59.96193589680101,32
